amine,carboxylic acid,product,conversion,gt,pred,prob
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N1CCCC1C(O)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,100,1,0,0.20359455
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,O=C(O)c1cn2cc(Br)ncc2n1,CC(Oc1cc(Br)cnc1NC(=O)c1cn2cc(Br)ncc2n1)c1c(Cl)ccc(F)c1Cl,0,0,0,0.119781405
CC(NC(C)c1ccccc1)c1ccccc1,O=C(O)c1cn2cc(Br)ncc2n1,CC(c1ccccc1)N(C(=O)c1cn2cc(Br)ncc2n1)C(C)c1ccccc1,0,0,0,0.24449337
Nc1ccccc1-c1nc2ccccc2[nH]1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(Nc1ccccc1-c1nc2ccccc2[nH]1)c1cn2cc(Br)ncc2n1,55.3,1,1,0.5084815
NN(Cc1ccccc1)c1ccccc1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(NN(Cc1ccccc1)c1ccccc1)c1cn2cc(Br)ncc2n1,100,1,0,0.382256
c1ccc2sc(N3CCNCC3)nc2c1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N1CCN(c2nc3ccccc3s2)CC1,100,1,1,0.6422806
Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)c1cn2cc(Br)ncc2n1,100,1,1,0.5553719
C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1,O=C(O)c1cn2cc(Br)ncc2n1,C=C(C)C(=O)OC1CC(C)(C)N(C(=O)c2cn3cc(Br)ncc3n2)C(C)(C)C1,0,0,0,0.14294443
C1=Cc2ccccc2NCc2ccccc21,O=C(O)c1cn2cc(Br)ncc2n1,O=C(c1cn2cc(Br)ncc2n1)N1Cc2ccccc2C=Cc2ccccc21,41.3,1,0,0.2484626
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,O=C(O)c1cn2cc(Br)ncc2n1,O=C(Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1)c1cn2cc(Br)ncc2n1,0,0,0,0.22850642
Cc1onc(N)c1C,O=C(O)c1cn2cc(Br)ncc2n1,Cc1onc(NC(=O)c2cn3cc(Br)ncc3n2)c1C,0,0,0,0.221157
